id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
192444,Sudan,SDN,11.75228,28.204599,"[11.75228, 28.204599]",Recommended figure,Conflict,total,7687,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"West Kurdufan, Sudan","11.75228, 28.204599",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.816987Z,"Sudan: 7,687 displacements, 25 June - 29 July. A total of 7687 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in West Kurdufan, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192442,Sudan,SDN,11.22641,30.913931,"[11.22641, 30.913931]",Recommended figure,Conflict,total,2675,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"South Kordofan State, Sudan","11.22641, 30.913931",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.691781Z,"Sudan: 2,675 displacements, 25 June - 29 July. A total of 2675 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in South Kordofan State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192437,Sudan,SDN,15.55177,32.53241,"[15.55177, 32.53241]",Recommended figure,Conflict,total,89142,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"Khartoum, Sudan","15.55177, 32.53241",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.407282Z,"Sudan: 89,142 displacements, 25 June - 29 July. A total of 89142 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in Khartoum, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192438,Sudan,SDN,15.84944,25.504379,"[15.84944, 25.504379]",Recommended figure,Conflict,total,14404,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"North Darfur State, Sudan","15.84944, 25.504379",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.465878Z,"Sudan: 14,404 displacements, 25 June - 29 July. A total of 14404 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in North Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192440,Sudan,SDN,20.0,36.0,"[20, 36]",Recommended figure,Conflict,total,10,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"Red Sea State, Sudan","20, 36",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.578136Z,"Sudan: 10 displacements, 25 June - 29 July. A total of 10 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in Red Sea State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192445,Sudan,SDN,13.60607,32.315361,"[13.60607, 32.315361]",Recommended figure,Conflict,total,2946,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"White Nile State, Sudan","13.60607, 32.315361",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.875087Z,"Sudan: 2,946 displacements, 25 June - 29 July. A total of 2946 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in White Nile State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192439,Sudan,SDN,14.41693,29.46837,"[14.41693, 29.46837]",Recommended figure,Conflict,total,5122,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"North Kordofan State, Sudan","14.41693, 29.46837",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.521803Z,"Sudan: 5,122 displacements, 25 June - 29 July. A total of 5122 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in North Kordofan State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192436,Sudan,SDN,11.26541,26.43845,"[11.26541, 26.43845]",Recommended figure,Conflict,total,615,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"East Darfur State, Sudan","11.26541, 26.43845",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.340031Z,"Sudan: 615 displacements, 25 June - 29 July. A total of 615 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in East Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192443,Sudan,SDN,13.83071,22.81534,"[13.83071, 22.81534]",Recommended figure,Conflict,total,10970,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"وادي درام, West Darfur State, Sudan","13.83071, 22.81534",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.758333Z,"Sudan: 10,970 displacements, 25 June - 29 July. A total of 10970 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in West Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
192441,Sudan,SDN,11.40799,24.704559,"[11.40799, 24.704559]",Recommended figure,Conflict,total,350,2025-07-29,2025-06-25,2025-07-29,2025,30948,Sudan: Non-International armed conflict (NIAC) - Countrywide - 2025,,,2025-01-01,2025-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,"South Darfur State, Sudan","11.40799, 24.704559",State/Region/Province (ADM1),Destination,Displacement without preventive evacuations reported,2025-09-14T10:47:44.634652Z,"Sudan: 350 displacements, 25 June - 29 July. A total of 350 people were displaced due to Non-International Armed Conflict (NIAC) between 25 June and 29 July 2025 in South Darfur State, Sudan, according to IOM Displacement Tracking Matrix (IOM DTM).",https://dtm.iom.int/datasets/dtm-sudan-countrywide-mobility-update-20-bi-weekly,Conflict
